Total nodes: 7115, total edges: 103689
Indexes: 0, Node: 2565, Labels: 11112
Indexes: 1, Node: 1549, Labels: 17976
Indexes: 2, Node: 766, Labels: 21445
Indexes: 3, Node: 11, Labels: 24462
Indexes: 4, Node: 1166, Labels: 30592
Indexes: 5, Node: 457, Labels: 35017
Indexes: 6, Node: 2688, Labels: 38887
Indexes: 7, Node: 1374, Labels: 42931
Indexes: 8, Node: 1151, Labels: 47828
Indexes: 9, Node: 5524, Labels: 50039
Indexes: 10, Node: 3352, Labels: 52885
Indexes: 11, Node: 2485, Labels: 56186
Indexes: 12, Node: 2328, Labels: 58890
Indexes: 13, Node: 4037, Labels: 61422
Indexes: 14, Node: 3456, Labels: 64497
Indexes: 15, Node: 737, Labels: 67454
Indexes: 16, Node: 2871, Labels: 69583
Indexes: 17, Node: 5079, Labels: 72605
Indexes: 18, Node: 2651, Labels: 75196
Indexes: 19, Node: 1608, Labels: 77759
Indexes: 20, Node: 5802, Labels: 79771
Indexes: 21, Node: 2237, Labels: 82037
Indexes: 22, Node: 993, Labels: 84123
Indexes: 23, Node: 15, Labels: 86724
Indexes: 24, Node: 4310, Labels: 89496
Indexes: 25, Node: 2972, Labels: 91486
Indexes: 26, Node: 2398, Labels: 93531
Indexes: 27, Node: 1133, Labels: 96893
Indexes: 28, Node: 789, Labels: 99403
Indexes: 29, Node: 3453, Labels: 101222
Indexes: 30, Node: 1297, Labels: 102751
Indexes: 31, Node: 2658, Labels: 105626
Indexes: 32, Node: 5189, Labels: 107376
Indexes: 33, Node: 311, Labels: 109997
Indexes: 34, Node: 1305, Labels: 111723
Indexes: 35, Node: 3642, Labels: 116242
Indexes: 36, Node: 5800, Labels: 116691
Indexes: 37, Node: 4967, Labels: 118902
Indexes: 38, Node: 2256, Labels: 120679
Indexes: 39, Node: 3447, Labels: 122250
Indexes: 40, Node: 2576, Labels: 124155
Indexes: 41, Node: 5697, Labels: 126137
Indexes: 42, Node: 173, Labels: 128926
Indexes: 43, Node: 5022, Labels: 130756
Indexes: 44, Node: 2625, Labels: 131931
Indexes: 45, Node: 762, Labels: 133457
Indexes: 46, Node: 6, Labels: 135228
Indexes: 47, Node: 722, Labels: 136964
Indexes: 48, Node: 4099, Labels: 138764
Indexes: 49, Node: 5179, Labels: 140012
Indexes: 50, Node: 4712, Labels: 141754
Indexes: 51, Node: 72, Labels: 143189
Indexes: 52, Node: 2654, Labels: 144304
Indexes: 53, Node: 813, Labels: 146329
Indexes: 54, Node: 3449, Labels: 148451
Indexes: 55, Node: 4828, Labels: 149514
Indexes: 56, Node: 24, Labels: 152568
Indexes: 57, Node: 1098, Labels: 153853
Indexes: 58, Node: 2326, Labels: 155169
Indexes: 59, Node: 2790, Labels: 156734
Indexes: 60, Node: 5254, Labels: 158243
Indexes: 61, Node: 996, Labels: 160826
Indexes: 62, Node: 3976, Labels: 162042
Indexes: 63, Node: 988, Labels: 163403
Indexes: 64, Node: 2660, Labels: 164920
Indexes: 65, Node: 600, Labels: 166677
Indexes: 66, Node: 3026, Labels: 167834
Indexes: 67, Node: 4632, Labels: 169530
Indexes: 68, Node: 1496, Labels: 171130
Indexes: 69, Node: 1542, Labels: 172875
Indexes: 70, Node: 3459, Labels: 173731
Indexes: 71, Node: 5543, Labels: 175029
Indexes: 72, Node: 2411, Labels: 176299
Indexes: 73, Node: 3568, Labels: 177321
Indexes: 74, Node: 5188, Labels: 178586
Indexes: 75, Node: 2145, Labels: 179993
Indexes: 76, Node: 407, Labels: 181310
Indexes: 77, Node: 4191, Labels: 182486
Indexes: 78, Node: 2535, Labels: 183643
Indexes: 79, Node: 3787, Labels: 184891
Indexes: 80, Node: 826, Labels: 186099
Indexes: 81, Node: 68, Labels: 188328
Indexes: 82, Node: 2653, Labels: 189008
Indexes: 83, Node: 3028, Labels: 189933
Indexes: 84, Node: 310, Labels: 191481
Indexes: 85, Node: 2297, Labels: 193105
Indexes: 86, Node: 1428, Labels: 193977
Indexes: 87, Node: 825, Labels: 195279
Indexes: 88, Node: 1211, Labels: 196007
